url,issue,severity,details
"https://akrin.jp/book-reservation","Title too long (83)","low",""""""
"https://akrin.jp/privacy","Title too long (83)","low",""""""
"https://akrin.jp/cookies","Title too long (83)","low",""""""
"https://akrin.jp/terms","Title too long (83)","low",""""""
"https://akrin.jp/about","Title too long (65)","low",""""""
"https://akrin.jp/services/it-managed-services","Title too long (64)","low",""""""
"https://akrin.jp/book-consultation","Meta description suboptimal (74)","low",""""""
"https://akrin.jp/case-studies","Meta description suboptimal (81)","low",""""""
"https://akrin.jp/fortitude-demo","Meta description suboptimal (62)","low",""""""
"https://akrin.jp/","Title too long (65)","low",""""""
"https://akrin.jp/services/cybersecurity","Title too long (72)","low",""""""
"https://akrin.jp/robots.txt","Missing title","high",""""""
"https://akrin.jp/robots.txt","Missing meta description","medium",""""""
"https://akrin.jp/robots.txt","Missing H1","high",""""""
"https://akrin.jp/robots.txt","Missing canonical","medium",""""""
"https://akrin.jp/robots.txt","Incomplete hreflang set","medium",""""""
"https://akrin.jp/robots.txt","Missing html lang","high",""""""
"https://akrin.jp/services/it-managed-services-v2","Title too long (64)","low",""""""
"https://akrin.jp/services/it-managed-services-v2","Incomplete hreflang set","medium",""""""
"https://akrin.jp/services/network-penetration-testing","Title too long (71)","low",""""""
"https://akrin.jp/services/itad-japan-apac-us","Title too long (67)","low",""""""
"https://akrin.jp/contact-form","Title too long (65)","low",""""""
"https://akrin.jp/services/wifi-assessment","Title too long (70)","low",""""""
"https://akrin.jp/services/cloud-infrastructure","Title too long (66)","low",""""""
"https://akrin.jp/contact","Title too long (77)","low",""""""
"https://akrin.jp/ja/about","Meta description suboptimal (93)","low",""""""
"https://akrin.jp/ja","Title too long (64)","low",""""""
"https://akrin.jp/ja","Meta description suboptimal (95)","low",""""""
"https://akrin.jp/services/wifi-design","Title too long (65)","low",""""""
"https://akrin.jp/ja/services/cybersecurity","Meta description suboptimal (65)","low",""""""
"https://akrin.jp/services/it-security","Title too long (75)","low",""""""
"https://akrin.jp/services/it-security","Meta description suboptimal (118)","low",""""""
"https://akrin.jp/ja/contact-form","Meta description suboptimal (91)","low",""""""
"https://akrin.jp/ja/services/itad-japan-apac-us","Meta description suboptimal (76)","low",""""""
"https://akrin.jp/ja/services/cloud-infrastructure","Meta description suboptimal (75)","low",""""""
"https://akrin.jp/ja/services/it-consulting-project-management","Meta description suboptimal (58)","low",""""""
"https://akrin.jp/ja/services/it-security","Meta description suboptimal (66)","low",""""""
"https://akrin.jp/ja/cookies","Meta description suboptimal (51)","low",""""""
"https://akrin.jp/ja/services/it-managed-services","Meta description suboptimal (67)","low",""""""
"https://akrin.jp/ja/services","Meta description suboptimal (97)","low",""""""
"https://akrin.jp/services","Title too long (68)","low",""""""
"https://akrin.jp/services","Meta description suboptimal (88)","low",""""""
"https://akrin.jp/ja/blog","Meta description suboptimal (39)","low",""""""
"https://akrin.jp/ja/terms","Meta description suboptimal (52)","low",""""""
"https://akrin.jp/ja/blog/cybersecurity-best-practices-2025","Title too long (62)","low",""""""
"https://akrin.jp/ja/blog/phishing-prevention-guide-2025","Title too long (66)","low",""""""
"https://akrin.jp/ja/blog/phishing-prevention-guide-2025","Meta description suboptimal (90)","low",""""""
"https://akrin.jp/ja/case-studies","Meta description suboptimal (41)","low",""""""
"https://akrin.jp/blog","Title too long (68)","low",""""""
"https://akrin.jp/blog","Meta description suboptimal (106)","low",""""""
"https://akrin.jp/ja/services/network-penetration-testing","Meta description suboptimal (55)","low",""""""
"https://akrin.jp/ja/contact","Meta description suboptimal (100)","low",""""""
"https://akrin.jp/ja/services/wifi-design","Meta description suboptimal (53)","low",""""""
"https://akrin.jp/ja/book-consultation","Meta description suboptimal (93)","low",""""""
"https://akrin.jp/ja/privacy","Meta description suboptimal (52)","low",""""""
"https://akrin.jp/blog/5g-impact-business-operations","Title too long (81)","low",""""""
"https://akrin.jp/blog/ai-transforming-it-support","Title too long (81)","low",""""""
"https://akrin.jp/blog/cloud-migration-success-stories","Title too long (81)","low",""""""
"https://akrin.jp/blog/cybersecurity-best-practices-2025","Title too long (81)","low",""""""
"https://akrin.jp/blog/future-of-it-infrastructure-japan","Title too long (81)","low",""""""
"https://akrin.jp/blog/phishing-prevention-guide-2025","Title too long (77)","low",""""""
"https://akrin.jp/blog/phishing-prevention-guide-2025","Meta description suboptimal (58)","low",""""""
"https://akrin.jp/blog/remote-work-security-guide","Title too long (78)","low",""""""
"https://akrin.jp/blog/remote-work-security-guide","Meta description suboptimal (66)","low",""""""
"https://akrin.jp/ja/services/wifi-assessment","Meta description suboptimal (52)","low",""""""